# Time-averaged data for fix avgrdf
# TimeStep Number-of-rows
# Row c_h2oRDF[1] c_h2oRDF[2] c_h2oRDF[3] c_h2oRDF[4] c_h2oRDF[5] c_h2oRDF[6] c_h2oRDF[7]
10000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
46 4.55 1.05671 25.7522 1.00208 12.8192 1.24381 13.075
47 4.65 1.05391 27.6587 1.00189 13.7263 1.20723 14.1659
48 4.75 1.04066 29.6231 0.997401 14.6686 1.16963 15.2687
49 4.85 1.01602 31.6225 1.00677 15.6601 1.1096 16.3593
50 4.95 1.00332 33.6792 1.01104 16.6974 1.05007 17.4344
51 5.05 0.987315 35.7856 1.01376 17.7799 1.01385 18.5148
52 5.15 0.968228 37.9341 1.01954 18.9121 0.955523 19.5738
53 5.25 0.964305 40.1576 1.02471 20.0947 0.915473 20.6283
54 5.35 0.956476 42.4479 1.01787 21.3146 0.867338 21.6656
55 5.45 0.956561 44.8249 1.00319 22.5622 0.846427 22.7163
56 5.55 0.962278 47.3047 0.989335 23.8382 0.829732 23.7844
57 5.65 0.966063 49.8847 0.981267 25.1497 0.817084 24.8745
58 5.75 0.976173 52.5846 0.966821 26.4881 0.827294 26.0176
59 5.85 0.98115 55.3937 0.951719 27.8518 0.857446 27.2439
60 5.95 0.98566 58.3129 0.942552 29.249 0.894461 28.5673
61 6.05 0.99177 61.3499 0.936192 30.6839 0.920453 29.9752
62 6.15 0.990041 64.4826 0.937049 32.1678 0.970082 31.5086
63 6.25 0.987157 67.7087 0.941741 33.7082 0.99324 33.13
64 6.35 0.985729 71.034 0.954476 35.3197 1.03337 34.8713
65 6.45 0.988456 74.4744 0.961556 36.9947 1.05712 36.7092
66 6.55 0.985759 78.0126 0.97742 38.7506 1.07438 38.6354
67 6.65 0.989417 81.6732 0.992227 40.5878 1.08634 40.643
68 6.75 0.991466 85.4525 1.00279 42.501 1.08152 42.7022
69 6.85 0.99672 89.3652 1.01933 44.5037 1.08524 44.8302
70 6.95 0.999114 93.4027 1.02339 46.5734 1.06769 46.9853
71 7.05 1.00703 97.5901 1.03019 48.7174 1.05854 49.1839
72 7.15 1.00889 101.905 1.03718 50.9375 1.03439 51.3937
73 7.25 1.01382 106.363 1.03785 53.2217 1.01677 53.6271
74 7.35 1.01529 110.952 1.04199 55.5786 1.00095 55.8868
75 7.45 1.01535 115.666 1.03438 57.9824 0.998732 58.2032
76 7.55 1.02297 120.545 1.0296 60.4397 0.989872 60.5611
77 7.65 1.0187 125.532 1.02414 62.9492 0.986576 62.9739
78 7.75 1.02174 130.666 1.01826 65.51 0.982126 65.4391
79 7.85 1.0139 135.893 1.01306 68.1239 0.985784 67.9774
80 7.95 1.0143 141.256 1.00449 70.7821 0.992579 70.5989
81 8.05 1.01504 146.759 1.00156 73.4996 0.990129 73.2802
82 8.15 1.01075 152.376 0.996811 76.2719 0.997585 76.0493
83 8.25 1.00552 158.101 0.992277 79.0996 0.998982 78.8907
84 8.35 1.00064 163.938 0.989713 81.9889 1.0023 81.8111
85 8.45 1.00211 169.924 0.986996 84.9397 1.00713 84.8163
86 8.55 0.998611 176.031 0.986496 87.9592 1.01187 87.9073
